epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,1768.15,1.04407,0.55564,1.12825,0.66545,0.72822,0.66515,0.30447,1.78079,0.81837,1.22061,0.000297226,0.000297226,0.000297226
85,1790.35,1.01672,0.54201,1.11605,0.75496,0.65339,0.68287,0.30669,1.76204,0.82043,1.21753,0.000280723,0.000280723,0.000280723
86,1810.46,1.02571,0.54607,1.11543,0.6804,0.70008,0.67013,0.29712,1.74844,0.81504,1.21059,0.00026422,0.00026422,0.00026422
87,1832.4,0.9999,0.53462,1.13072,0.71206,0.71386,0.67147,0.31659,1.75186,0.81667,1.21062,0.000247716,0.000247716,0.000247716
88,1852.43,1.02242,0.54171,1.12868,0.76835,0.68022,0.67074,0.31553,1.73267,0.80592,1.20002,0.000231213,0.000231213,0.000231213
89,1874.02,1.01771,0.53688,1.13064,0.73405,0.71731,0.6801,0.305,1.73653,0.80634,1.2117,0.00021471,0.00021471,0.00021471
90,1894.43,1.0255,0.5511,1.12865,0.71115,0.6874,0.66667,0.29661,1.75454,0.82254,1.20423,0.000198206,0.000198206,0.000198206
91,1917.37,0.97619,0.51209,1.12895,0.69562,0.70944,0.66399,0.29972,1.72812,0.82202,1.19835,0.000181703,0.000181703,0.000181703
92,1936.88,1.01479,0.50291,1.12458,0.74197,0.70654,0.66736,0.30383,1.72929,0.82541,1.19949,0.0001652,0.0001652,0.0001652
93,1957.65,0.96736,0.48456,1.11174,0.74944,0.70232,0.67975,0.3024,1.73458,0.81715,1.19726,0.000148696,0.000148696,0.000148696
94,1976.99,0.9723,0.48216,1.1195,0.72665,0.71201,0.68122,0.30611,1.74422,0.81493,1.19713,0.000132193,0.000132193,0.000132193
95,1997.09,0.96685,0.48271,1.11061,0.71706,0.71607,0.67085,0.30605,1.74916,0.81521,1.2053,0.00011569,0.00011569,0.00011569
96,2017.54,0.98142,0.48432,1.11032,0.72198,0.71388,0.68166,0.30608,1.75244,0.80665,1.21232,9.91865e-05,9.91865e-05,9.91865e-05
97,2036.89,0.94276,0.47243,1.09753,0.71524,0.72085,0.68308,0.30994,1.75036,0.80824,1.20918,8.26832e-05,8.26832e-05,8.26832e-05
98,2057.71,0.96478,0.47547,1.10212,0.68827,0.74202,0.68478,0.30556,1.75659,0.80489,1.22267,6.61799e-05,6.61799e-05,6.61799e-05
99,2076.9,0.95173,0.46782,1.10051,0.73366,0.66769,0.68166,0.30817,1.75987,0.8028,1.22263,4.96766e-05,4.96766e-05,4.96766e-05
100,2097.85,0.95195,0.47094,1.10681,0.73901,0.6669,0.67855,0.30498,1.76193,0.80996,1.21855,3.31733e-05,3.31733e-05,3.31733e-05
